ID,Sex_ Female,Race_ White,Employment class_ ?,Employment class_ Federal-gov,Employment class_ Local-gov,Employment class_ Private,Employment class_ Self-emp-inc,Employment class_ Self-emp-not-inc,Employment class_ State-gov,Employment class_ Without-pay,Occupation_ ?,Occupation_ Adm-clerical,Occupation_ Armed-Forces,Occupation_ Craft-repair,Occupation_ Exec-managerial,Occupation_ Farming-fishing,Occupation_ Handlers-cleaners,Occupation_ Machine-op-inspct,Occupation_ Other-service,Occupation_ Priv-house-serv,Occupation_ Prof-specialty,Occupation_ Protective-serv,Occupation_ Sales,Occupation_ Tech-support,Occupation_ Transport-moving,Married,Age_normalize,Education_years_n,Fnlwgt_normalize,Work_hours_per_week_n,Capital_n,US_born
21990,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0958904109589041,0.7333333333333333,0.10258553227710811,0.29591836734693877,-0.12844462026120232,1
6594,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1506849315068493,0.5333333333333333,0.16789570691122765,0.3979591836734694,-0.12844462026120232,1
18525,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.273972602739726,0.5333333333333333,0.1355465210467064,0.3979591836734694,-0.12844462026120232,1
23747,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6712328767123288,0.6,0.2842643949586754,0.2755102040816326,-0.12844462026120232,1
37752,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2328767123287671,0.5333333333333333,0.0319596227244021,0.11224489795918367,-0.43911875332959527,1
15379,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0547945205479452,0.5333333333333333,0.09215570855871935,0.3979591836734694,-0.12844462026120232,1
23237,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.2054794520547945,0.5333333333333333,0.19099577143798566,0.3979591836734694,-0.12844462026120232,1
5302,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4246575342465753,0.8,0.10902104670638953,0.3979591836734694,0.9676832985225539,1
29910,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5205479452054794,0.5333333333333333,0.22728606633899887,0.3673469387755102,-0.12844462026120232,1
5884,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.136986301369863,0.5333333333333333,0.06608157829704275,0.7040816326530612,-0.12844462026120232,1
30121,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5068493150684932,0.6,0.034051593948213846,0.47959183673469385,-0.35357286996978077,1
18830,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6986301369863014,0.2,0.029720063703012164,0.3979591836734694,-0.12844462026120232,1
7258,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2191780821917808,0.5333333333333333,0.15291640352563224,0.3979591836734694,0.5862912352100476,1
39578,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1780821917808219,0.5333333333333333,0.32376987286855763,0.2857142857142857,-0.12844462026120232,1
39356,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0821917808219178,0.6,0.03528120623850188,0.5,-0.12844462026120232,1
12182,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5068493150684932,0.5333333333333333,0.266045882643675,0.4387755102040816,-0.12844462026120232,1
22242,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2602739726027397,0.8,0.19116395288173754,0.5,-0.12844462026120232,1
23632,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6027397260273972,0.9333333333333333,0.10998637387078174,0.19387755102040816,-0.12844462026120232,1
19671,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2465753424657534,0.5333333333333333,0.19498321617836845,0.5,0.3456221500244362,1
8659,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3972602739726027,0.4,0.3833507235234356,0.29591836734693877,-0.12844462026120232,1
43512,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2328767123287671,0.7333333333333333,0.12844600345973256,0.3469387755102041,-0.12844462026120232,1
9607,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6027397260273972,0.7333333333333333,0.13651699662264202,0.41836734693877553,-0.12844462026120232,1
4996,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1095890410958904,0.5333333333333333,0.143431313325462,0.3979591836734694,-0.12844462026120232,1
4878,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0136986301369863,0.4,0.02239730635108048,0.19387755102040816,-0.12844462026120232,1
43923,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0273972602739726,0.6,0.10695224333452319,0.3469387755102041,-0.12844462026120232,1
42117,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1095890410958904,0.5333333333333333,0.23689128614184904,0.3979591836734694,-0.12844462026120232,1
1232,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4794520547945205,0.6,0.09887781789725143,0.5,-0.12844462026120232,1
34468,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1095890410958904,0.6,0.07711119196024054,0.5510204081632653,-0.12844462026120232,1
17925,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136986301369863,0.8,0.22255467613059118,0.3979591836734694,-0.12844462026120232,1
